episod,total_reward
684,20.319666919
685,20.3778234855
686,20.3914381768
687,20.3618683807
688,20.4939993773
689,20.4035060256
690,20.4530426491
691,20.3783017755
692,20.4709282992
693,20.2900504958
694,20.310623075
695,20.4382934408
696,20.3085193027
697,20.3412687307
698,20.3654696554
699,20.4506840878
700,20.2800443595
701,20.2638489771
702,20.366088905
703,20.3143452134
704,20.3747099793
705,20.46913358
706,20.5277275056
707,20.3866312552
708,20.4619687056
709,20.6552641935
710,20.3424204108
711,20.3680129433
712,20.3303469738
713,20.2816607655
714,20.4837523203
715,20.533860534
716,20.4136877296
717,20.3908622237
718,20.3614416097
719,20.3197651899
720,20.4686959898
721,20.2482395494
722,20.4018982428
723,20.6870081236
724,20.4437392496
725,20.4090754549
726,20.4643543634
727,20.3138357495
728,20.393918683
729,20.3627483796
730,20.3094607939
731,12.7952646299
732,13.2571150681
733,12.9526812454
734,13.2717570195
735,13.0562112572
736,12.8387035769
737,13.0632760402
738,13.3513069407
739,13.7152479909
740,12.9803723523
741,12.7879295215
742,13.3264352599
743,13.1150869587
744,13.0513502781
745,13.551135461
746,13.2406857908
747,13.0722187203
748,12.7578342216
749,13.5685024864
750,13.5376060594
751,13.1805160822
752,13.2050611726
753,13.1856670182
754,15.3742567754
755,23.8056405234
756,21.0649457639
757,20.3456009044
758,20.3112450245
759,20.4515436484
760,20.4439040832
761,20.3102152523
762,20.4973109187
763,20.4758975014
764,20.5335298095
765,20.4695352979
766,20.39341988
767,20.4318027694
768,20.5973165095
769,20.4206038221
770,20.4925704205
771,20.4714984453
772,20.4955916568
773,20.6191870854
774,20.4250247418
775,20.4794419436
776,20.4139884699
777,20.3216577487
778,-6.86045707766
779,-157.941524246
780,-154.915500027
781,-157.404352006
782,-155.467087559
783,-153.185446797
784,-156.33293495
785,-154.460348534
786,-116.799506419
787,24.3006050013
788,23.8050365365
789,23.805529578
790,23.8056269469
791,23.8056194919
792,23.8056386
793,23.8056486457
794,23.8056465683
795,23.805629595
796,23.8056142881
797,20.6642784734
798,20.528191642
799,17.4874236981
800,19.2165050516
801,23.8056433051
802,20.3678138233
803,20.4954122257
804,20.3756565695
805,20.5383237819
806,20.5774680347
807,20.5488331281
808,20.4796626108
809,23.0775557103
810,23.8056376218
811,23.805687833
812,23.8056265479
813,23.8056497262
814,23.8056221675
815,21.754263208
816,23.8056491089
817,23.8056255201
818,20.6367792017
819,23.8056436517
820,23.8056350461
821,23.8056332748
822,23.8056233431
823,23.8057188689
824,23.8056571001
825,23.8060093019
826,23.8056208999
827,23.8056459155
828,23.8062956663
829,23.8056434735
830,23.8056449108
831,23.8056227594
832,23.8056529561
833,23.8056435919
834,20.1313265183
835,20.6480688915
836,23.8056476582
837,22.2050650406
838,23.8056385416
839,18.711637999
840,20.3062987238
841,20.340681773
842,20.4642964978
843,20.310846066
844,20.2773416986
845,20.4970206831
846,20.3589370006
847,20.3687086522
848,20.6428055038
849,20.3470990355
850,20.2487558811
851,20.3997993593
852,20.4898142202
853,20.5791002428
854,20.3927698048
855,20.3330062864
856,20.379415246
857,20.3923604891
858,20.4821749503
859,20.4166857416
860,20.4418935358
861,20.4873609021
862,20.4946204703
863,20.4200529759
864,20.2859692789
865,20.5583706559
866,20.3164821966
867,20.5153271695
868,20.4685310048
869,20.4416458031
870,20.5039580206
871,20.3624545331
872,20.5016244925
873,20.4914661554
874,20.5188287899
875,20.4181896418
876,20.5879223949
877,20.4670312921
878,20.4016434108
879,20.5142685439
880,20.3887884667
881,20.2168618322
882,20.4207159672
883,20.4445560909
884,20.2282592608
885,20.2759150149
886,20.5631910563
887,20.5599649597
888,20.3465223824
889,20.4028529753
890,20.0178833314
891,-152.81547723
892,-149.543378932
893,-156.360598053
894,-153.699116387
895,-117.326705829
896,-152.908054487
897,-143.60064643
898,-155.912124232
899,-156.700028376
900,-134.44485796
901,-154.8543895
902,-156.653607829
903,-151.846721501
904,-153.319577054
905,-153.180691013
906,-138.162049892
907,-128.785645355
908,-153.754877174
909,-120.748118164
910,-156.489659199
911,-155.970319096
912,-6.96750102131
913,20.5327176106
914,20.5358200121
915,20.5180630741
916,20.4086942323
917,20.5609873724
918,20.3955221389
919,20.4901919058
920,20.2861262874
921,20.4634221363
922,20.3398562045
923,20.3049038894
924,20.2133304579
925,20.3681408869
926,20.6416708807
927,20.3083004902
928,20.3922353204
929,20.4345229572
930,20.5089139556
931,20.3758665751
932,20.3933557668
933,20.3883652988
934,20.5304487157
935,20.4735720831
936,20.4251318749
937,20.2971366482
938,20.3746773158
939,20.3244633346
940,20.2154151384
941,20.410753367
942,20.380584348
943,20.472148081
944,20.3920342745
945,20.3116332264
946,20.4818928227
947,20.4415023713
948,20.2623092322
949,20.3808603111
950,20.147847434
951,20.4853363837
952,20.4219215863
953,20.3634196937
954,20.3496905502
955,20.3351064555
956,20.4478617401
957,20.4919470578
958,20.4204690728
959,20.4620316972
960,20.4284055179
961,20.4482609692
962,20.4601637249
963,20.3768167801
964,20.3845035082
965,20.4588917068
966,20.358159315
967,20.576329245
968,20.3956708848
969,20.2352297655
970,20.6148017846
971,20.2597737718
972,20.3306444546
973,20.3501608514
974,20.2672424839
975,20.4347514577
976,20.5082688634
977,20.4906227053
978,20.3901938408
979,20.3490307622
980,20.4528644583
981,20.4595422587
982,20.3464029645
983,20.3808317151
984,20.4969254899
985,20.338408685
986,20.4269645564
987,20.3921181114
988,20.5061420454
989,20.3449760858
990,20.5218924904
991,20.4648629375
992,20.4281095576
993,20.5404613937
994,20.4716415605
995,20.3977997102
996,20.3902842734
997,20.4350658694
998,20.404965022
999,20.3740104385
1000,20.3991282655
