time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.89588726101e-08,3.6223256338e-07,10.0047363048,0.000308917936201,6.28311835547,0.0,5.22428732861e-06,3.09218737425e-05,0.157867366751,0.0138482626173,-0.00344677980658,0.0,455.11666729059937,454.840784658953,454.2471142940853,455.3559991772377
0.12000000000000001,2.66353943603e-06,1.22313176364e-05,10.0181502221,0.000743218376015,6.28287441581,0.0,0.000105931987371,0.000437759579867,0.289238315415,-0.0112182340665,-0.00533314772619,0.0,447.31611848530076,447.1625811310713,447.3469079874169,445.30141209197996
0.18,1.80334174435e-05,5.43048509634e-05,10.0430475177,0.000254994961938,6.28280414345,0.0,0.000429298966854,0.000893160807776,0.540586287305,-0.00259433098291,0.00606972699382,0.0,482.26066153544343,483.1210759837672,482.3025769048934,482.953484592369
0.23999999999999996,5.01499097541e-05,0.000112480975294,10.0779164674,0.000151791938014,6.28284284888,0.0,0.000618135548163,0.00103324779936,0.621670945141,-2.6316764737e-05,-0.0133465838867,0.0,431.32713774372746,429.68449959972804,431.73559277245045,431.9522133163749
0.3,9.85359425981e-05,0.000178435497903,10.1206023591,0.000521497610086,6.28205348583,0.0,0.00108512638843,0.00118868569095,0.801083159904,0.0163135079001,-0.01277769042,0.0,462.1845461845651,462.2294991439206,460.81440417831084,462.1039791593841
0.36000000000000004,0.000191763587216,0.00026526332153,10.173021655,0.00154439781832,6.28099705553,0.0,0.00211880516434,0.00181430340587,0.946117294101,0.0184788381912,-0.0296327941695,0.0,452.1008410546048,450.7409652438213,451.7590747909686,451.9335307679772
0.4200000000000001,0.000376681230078,0.000414342141371,10.2350463716,0.00277841184901,6.27899777744,0.0,0.00425692498352,0.00328755365193,1.12121690247,0.0244459552218,-0.0419637215209,0.0,462.17878115924907,461.205586861766,460.1273757254425,460.59943989800917
0.48000000000000015,0.000742263199455,0.000683726835528,10.3083453237,0.00399837148624,6.27653202275,0.0,0.0082193770877,0.00585022444539,1.32186918218,0.0104818523744,-0.039414889291,0.0,469.1335055940277,469.3305551983757,469.32181580893274,468.23681087112953
0.5400000000000001,0.00139413240399,0.00112742843046,10.3924190203,0.00409512660905,6.27441360852,0.0,0.0137551238093,0.00899381177934,1.48039339015,-0.029344884398,-0.0281500792746,0.0,456.49625217853327,457.393638191212,458.2797027644895,455.1033589284878
0.6000000000000002,0.00243397156781,0.00175724446114,10.4871898289,0.00310079098785,6.27243606977,0.0,0.0211145535618,0.0118475965424,1.67836273913,0.001197717736,-0.0449173263815,0.0,468.4306760825812,467.12467820331403,469.19483095022656,471.55987609490023
0.6600000000000003,0.00390415523147,0.00252428849048,10.5883021434,0.00299520273284,6.26943693154,0.0,0.0281429867436,0.0137196481312,1.69202447652,-0.00845111618433,-0.0627755320521,0.0,412.67033554605945,411.08915918286795,411.4719894371904,410.6170036866793
0.7200000000000003,0.00597003230372,0.00342325293316,10.6982930554,0.00246972358395,6.26579669139,0.0,0.0411901315479,0.0161779851749,1.97388944152,-0.00937891227299,-0.0567638819686,0.0,492.6304790198747,493.07253156837027,495.0481615984351,494.98002227005605
0.7800000000000004,0.00878758739863,0.00443931883576,10.8182891103,0.00176076047688,6.2626319454,0.0,0.0530374903038,0.0176307861843,2.02588221349,-0.0171999848197,-0.0457273927701,0.0,424.738068120698,425.68149245232195,425.7170084305928,425.0474111785189
0.8400000000000004,0.0123879500156,0.0055282557046,10.9420441825,0.000585649891897,6.26011663903,0.0,0.0672286524396,0.0185591665579,2.09914916255,-0.0248417633543,-0.0352307012887,0.0,433.5940100650433,434.4738881700508,431.1136069968672,430.46748123849403
0.9000000000000005,0.0169197979365,0.00664843911551,11.0715613221,6.28236041883,6.25774955746,0.0,0.0840605081313,0.0186283684392,2.21785979067,-0.0209686933325,-0.0496141861823,0.0,448.508463297011,447.3379786210008,446.1211509299993,446.43721204040924
0.9600000000000005,0.022595630363,0.00774030172067,11.2112963001,6.28094381525,6.2544482061,0.0,0.105495043714,0.0176078044624,2.43951576984,-0.0294984479158,-0.0689494489022,0.0,479.14907648763244,477.67502314090785,479.040444631516,478.3913982797448
1.0200000000000005,0.0295206372393,0.00874486000222,11.3601803075,6.27906200197,6.25003783266,0.0,0.125756444844,0.0156964641095,2.52308886764,-0.0353814407815,-0.0846744243731,0.0,438.4802116707953,437.16751993120755,437.48032501062437,436.989844525333
1.0800000000000005,0.0378647393119,0.00958087612664,11.5173704104,6.27713321434,6.24577319095,0.0,0.152895945431,0.0119391132042,2.71612127629,-0.0263564141167,-0.0525142662168,0.0,470.5750644291572,473.05394531518317,470.87238675091265,471.5696954037231
1.1400000000000006,0.0478946847207,0.0101541868427,11.685203104,6.27536107744,6.24238472814,0.0,0.181781855303,0.00698855344407,2.87789086192,-0.0368020998546,-0.0658795163873,0.0,463.56046132654296,462.5069369401048,463.64475810867674,462.8231170688111
1.2000000000000006,0.0595607864074,0.0104231838404,11.8584908723,6.27333927517,6.23841018748,0.0,0.207443148877,0.00178834431684,2.89829647738,-0.0281158979509,-0.0669776828026,0.0,418.62185690330847,418.5227275803066,419.69518035453257,420.44787239627146
1.2600000000000007,0.0731031666168,0.0102862498456,12.0387910957,6.27184315754,6.23433098061,0.0,0.244423888107,-0.00653494505434,3.11112752836,-0.0192324607375,-0.0700843536398,0.0,478.9982678110975,478.7588383164671,479.3054161575297,479.9800090619327
